from_node,to_node,length_m,travel_time_s,fuel_l,co2_g,lanes
26114456,28580070,77.34,9.28,0.0062,14.8,1
26114456,1486118375,65.47,7.86,0.0052,12.53,1
26114457,48932825,83.01,9.96,0.0066,15.88,1
26114457,26114458,117.53,14.1,0.0094,22.49,1
26114457,26114456,101.1,12.13,0.0081,19.35,1
26114458,26114457,117.53,14.1,0.0094,22.49,1
26114458,4333509530,89.93,6.47,0.0072,17.21,1
26114458,48932819,86.14,6.2,0.0069,16.48,3
26114461,2884057363,11.15,1.34,0.0009,2.13,1
26114461,28582044,106.41,12.77,0.0085,20.36,2
26114461,4333509525,66.8,4.81,0.0053,12.78,1
26114462,890983601,19.12,1.38,0.0015,3.66,2
26114462,150522041,163.12,19.57,0.013,31.21,1
26114462,9954076990,94.72,11.37,0.0076,18.13,3
26114482,30795366,5.83,0.7,0.0005,1.11,1
26114482,283458334,69.21,8.31,0.0055,13.24,1
26114485,30202173,21.44,1.54,0.0017,4.1,2
26114485,300901455,113.66,8.18,0.0091,21.75,2
26114487,26114488,31.03,2.23,0.0025,5.94,3
26114488,4133176776,82.49,5.94,0.0066,15.79,2
26114488,300028688,29.56,2.13,0.0024,5.66,1
26114491,26114494,307.56,22.14,0.0246,58.86,2
26114494,30202171,310.33,22.34,0.0248,59.39,3
26114494,27481787,75.71,9.09,0.0061,14.49,2
26114497,84487047,187.06,13.47,0.015,35.8,3
26114497,147554425,963.95,115.67,0.0771,184.46,2
26114497,140042612,148.47,10.69,0.0119,28.41,3
26678669,1638473943,92.35,11.08,0.0074,17.67,1
26678669,27586996,111.83,13.42,0.0089,21.4,1
26678669,27587003,34.75,2.5,0.0028,6.65,2
26678670,26678671,88.72,6.39,0.0071,16.98,2
26678670,27587740,54.63,6.56,0.0044,10.45,1
26678671,1060485401,82.16,5.92,0.0066,15.72,3
26678675,5427002739,32.78,3.93,0.0026,6.27,1
26678675,27481996,59.86,4.31,0.0048,11.45,2
26687706,1743419279,59.58,4.29,0.0048,11.4,2
26807316,5888768446,10.17,1.22,0.0008,1.95,1
26807316,27462587,21.85,1.57,0.0017,4.18,1
26807316,1614556174,59.69,7.16,0.0048,11.42,1
26807316,29055497,86.52,10.38,0.0069,16.56,5
26807318,1608966953,195.89,23.51,0.0157,37.49,2
26807318,5888784623,58.6,7.03,0.0047,11.21,1
26807318,29055613,48.38,5.81,0.0039,9.26,2
26807321,5888739561,4.54,0.55,0.0004,0.87,1
26807321,26807322,75.42,9.05,0.006,14.43,1
26807322,5888735652,4.77,0.57,0.0004,0.91,1
26807322,26807323,48.96,5.88,0.0039,9.37,1
26807323,1517807683,26.55,3.19,0.0021,5.08,1
26807323,5888735650,4.3,0.52,0.0003,0.82,1
26807331,5491451304,36.35,2.62,0.0029,6.96,1
26807331,27256924,24.94,1.8,0.002,4.77,1
26807332,29271928,99.46,7.16,0.008,19.03,3
26807332,1517807736,131.1,15.73,0.0105,25.09,3
26807332,5491451304,187.69,22.52,0.015,35.92,3
26823632,5295634568,111.35,13.36,0.0089,21.31,1
26823632,1060554651,16.27,1.95,0.0013,3.11,1
26823632,300382336,84.09,10.09,0.0067,16.09,1
26823632,5103217031,79.47,9.54,0.0064,15.21,3
26823634,27428819,99.51,7.16,0.008,19.04,2
26823634,26843023,112.19,8.08,0.009,21.47,2
26823634,26823638,63.93,7.67,0.0051,12.23,1
26823636,26843024,168.59,20.23,0.0135,32.26,1
26823636,26823634,151.26,18.15,0.0121,28.95,1
26823636,1716107221,23.18,2.78,0.0019,4.44,1
26823638,153513359,79.62,9.55,0.0064,15.24,1
26823641,153514937,8.95,1.07,0.0007,1.71,1
26823641,26843017,78.03,9.36,0.0062,14.93,1
26823641,26823650,87.19,10.46,0.007,16.69,1
26823643,26823638,176.92,21.23,0.0142,33.86,1
26823643,26843022,194.46,23.33,0.0156,37.21,1
26823649,26843016,118.34,14.2,0.0095,22.65,1
26823649,26823650,69.15,8.3,0.0055,13.23,1
26823649,26843007,110.35,13.24,0.0088,21.12,1
26823650,26843017,62.31,7.48,0.005,11.92,1
26823650,26823649,69.15,8.3,0.0055,13.23,1
26823650,26823641,87.19,10.46,0.007,16.69,1
26823805,1492865571,2285.78,137.15,0.1829,437.41,2
26823805,26823893,1141.8,68.51,0.0913,218.49,2
26823805,27557567,125.57,9.04,0.01,24.03,2
26823805,1492865663,130.76,7.85,0.0105,25.02,2
26823824,27551507,17.03,1.23,0.0014,3.26,2
26823824,507956486,315.95,22.75,0.0253,60.46,2
26823824,1492865663,545.09,32.71,0.0436,104.31,2
26823893,673851082,351.66,42.2,0.0281,67.29,1
26823893,26823805,1141.8,68.51,0.0913,218.49,2
26843007,5434963071,58.33,7.0,0.0047,11.16,1
26843007,26823649,110.35,13.24,0.0088,21.12,1
26843016,26843017,56.04,6.72,0.0045,10.72,1
26843016,5065380450,30.27,3.63,0.0024,5.79,1
26843016,10248696607,77.61,9.31,0.0062,14.85,1
26843016,26823649,118.34,14.2,0.0095,22.65,1
26843017,26843016,56.04,6.72,0.0045,10.72,1
26843017,36257863,266.34,31.96,0.0213,50.97,1
26843017,26823641,78.03,9.36,0.0062,14.93,1
26843017,26823650,62.31,7.48,0.005,11.92,1
26843018,36258871,161.16,19.34,0.0129,30.84,1
26843022,26843023,15.35,1.11,0.0012,2.94,2
26843022,26823643,194.46,23.33,0.0156,37.21,1
26843022,27428851,110.07,7.92,0.0088,21.06,2
26843023,26843022,15.35,1.11,0.0012,2.94,2
26843023,26843024,99.77,11.97,0.008,19.09,1
26843023,26823638,99.56,11.95,0.008,19.05,1
26843023,26823634,112.19,8.08,0.009,21.47,2
26843024,26843025,81.23,9.75,0.0065,15.54,1
26843024,26843023,99.77,11.97,0.008,19.09,1
26843025,26843027,111.79,13.42,0.0089,21.39,1
26843025,26843024,81.23,9.75,0.0065,15.54,1
26843025,27557364,118.31,14.2,0.0095,22.64,1
26843027,26843025,111.79,13.42,0.0089,21.39,1
26843027,27557362,113.32,13.6,0.0091,21.68,1
26843027,26843028,82.14,9.86,0.0066,15.72,1
26843027,262378058,39.89,4.79,0.0032,7.63,1
26843028,261651352,61.45,7.37,0.0049,11.76,1
26843028,518589940,45.9,5.51,0.0037,8.78,1
26843028,132020656,110.52,13.26,0.0088,21.15,1
26843028,26843027,82.14,9.86,0.0066,15.72,1
26843033,492820230,42.74,5.13,0.0034,8.18,1
26843033,26843034,50.26,6.03,0.004,9.62,1
26843033,1422693072,203.44,24.41,0.0163,38.93,1
26843034,27557271,126.06,15.13,0.0101,24.12,1
26843034,5302638649,37.66,4.52,0.003,7.21,1
26843034,1422693074,161.73,19.41,0.0129,30.95,1
26843034,26843033,50.26,6.03,0.004,9.62,1
26843036,1375433232,78.73,5.67,0.0063,15.07,3
26843036,5293722888,50.22,3.62,0.004,9.61,4
26843039,1422693067,95.88,6.9,0.0077,18.35,2
26843039,1422693074,144.0,10.37,0.0115,27.56,2
26852721,102394788,76.35,9.16,0.0061,14.61,1
26852721,102400566,168.06,12.1,0.0134,32.16,2
26852721,26852723,145.19,10.45,0.0116,27.78,2
26852723,30826215,56.9,6.83,0.0046,10.89,2
26852723,30826221,101.68,12.2,0.0081,19.46,1
26852723,26852721,145.19,10.45,0.0116,27.78,2
26852723,109620010,117.21,8.44,0.0094,22.43,2
26852729,5134801203,58.97,7.08,0.0047,11.28,1
26852729,102394788,16.14,1.94,0.0013,3.09,1
26852729,109622536,109.6,13.15,0.0088,20.97,1
26852730,5557062023,79.81,9.58,0.0064,15.27,1
26852730,26852721,85.42,10.25,0.0068,16.35,1
26852730,129973212,61.58,7.39,0.0049,11.78,1
26886958,2844153083,114.95,8.28,0.0092,22.0,5
26886958,26886959,115.13,13.82,0.0092,22.03,2
26886958,43601942,98.14,7.07,0.0079,18.78,5
26886958,315638437,64.89,4.67,0.0052,12.42,1
26886959,43597778,56.54,6.78,0.0045,10.82,1
26886959,43594249,70.64,8.48,0.0057,13.52,2
26886959,26886958,115.13,13.82,0.0092,22.03,2
26886960,43599533,56.31,6.76,0.0045,10.77,2
26886960,34646954,87.67,6.31,0.007,16.78,2
26886978,89008560,86.02,10.32,0.0069,16.46,3
26886978,28961398,167.3,12.05,0.0134,32.01,3
26886978,34669932,112.26,8.08,0.009,21.48,2
26889117,1042029281,120.7,14.48,0.0097,23.1,2
26889117,30795581,71.71,5.16,0.0057,13.72,2
27005541,27005553,192.99,23.16,0.0154,36.93,1
27005541,27005559,56.18,6.74,0.0045,10.75,1
27005541,27005556,159.84,19.18,0.0128,30.59,1
27005553,27005556,85.46,10.25,0.0068,16.35,1
27005553,27005555,176.18,21.14,0.0141,33.71,1
27005553,27005541,192.99,23.16,0.0154,36.93,1
27005555,27005553,176.18,21.14,0.0141,33.71,1
27005556,666285068,144.31,17.32,0.0115,27.61,1
27005556,27005553,85.46,10.25,0.0068,16.35,1
27005556,503707644,110.04,13.2,0.0088,21.06,1
27005556,27005541,159.84,19.18,0.0128,30.59,1
27005559,142093531,67.5,4.86,0.0054,12.92,2
27005559,666297386,77.63,9.32,0.0062,14.86,2
27005559,27005541,56.18,6.74,0.0045,10.75,1
27005597,5151419785,209.75,37.76,0.0168,40.14,1
27005597,4366133,109.0,7.85,0.0087,20.86,2
27005597,4366136,51.84,3.73,0.0041,9.92,2
27005599,27005610,136.87,16.42,0.0109,26.19,1
27005599,4366136,25.25,4.54,0.002,4.83,1
27005599,27005600,70.05,12.61,0.0056,13.4,1
27005600,27005601,62.88,11.32,0.005,12.03,1
27005600,27005609,298.51,53.73,0.0239,57.12,1
27005600,27005599,70.05,12.61,0.0056,13.4,1
27005601,27005600,62.88,11.32,0.005,12.03,1
27005601,27005602,72.48,13.05,0.0058,13.87,1
27005602,27005601,72.48,13.05,0.0058,13.87,1
27005602,5169480906,26.18,4.71,0.0021,5.01,1
27005602,142121201,365.29,43.83,0.0292,69.9,1
27005609,27005610,119.9,14.39,0.0096,22.94,1
27005609,27005635,73.14,8.78,0.0059,14.0,1
27005609,27005600,298.51,53.73,0.0239,57.12,1
27005610,27005609,119.9,14.39,0.0096,22.94,1
27005610,142113154,24.51,2.94,0.002,4.69,1
27005610,27005599,136.87,16.42,0.0109,26.19,1
27005613,27005601,273.61,49.25,0.0219,52.36,1
27005613,27005637,92.79,11.13,0.0074,17.76,1
27005613,142118900,100.68,12.08,0.0081,19.27,1
27005633,4366133,279.63,20.13,0.0224,53.51,3
27005633,5098014032,203.69,14.67,0.0163,38.98,2
27005633,27005635,49.34,5.92,0.0039,9.44,1
27005633,12215543062,49.06,5.89,0.0039,9.39,1
27005635,27005609,73.14,8.78,0.0059,14.0,1
27005635,142118900,24.38,2.93,0.002,4.67,1
27005635,27005633,49.34,5.92,0.0039,9.44,1
27005637,27005638,85.41,10.25,0.0068,16.34,1
27005637,27005613,92.79,11.13,0.0074,17.76,1
27005638,27005670,57.43,6.89,0.0046,10.99,1
27005638,27005656,206.61,24.79,0.0165,39.54,1
27005638,27005637,85.41,10.25,0.0068,16.34,1
