from_node,to_node,length_m,travel_time_s,cost
61317478,61317476,274.28,32.91,0
61317478,61328107,84.63,10.16,0
61317478,61326977,77.67,9.32,0
61317483,6590017300,10.19,1.84,0
61317483,61317489,44.32,5.32,0
61317483,61317428,49.02,8.82,0
61317485,61317495,35.62,5.13,0
61317489,61317483,44.32,5.32,0
61317491,61317497,46.03,6.63,0
61317495,61324786,37.36,6.72,0
61317495,61324192,103.25,18.58,0
61317495,61317485,35.62,5.13,0
61317497,61317491,46.03,6.63,0
61317497,61318136,28.68,5.16,0
61317497,61323206,133.14,23.97,0
61317499,61317513,49.96,7.19,0
61317499,61321084,93.72,16.87,0
61317501,61317503,63.13,9.09,0
61317501,61321470,65.52,9.43,0
61317503,61317501,63.13,9.09,0
61317509,61317511,61.19,8.81,0
61317509,61322531,107.96,19.43,0
61317511,61317509,61.19,8.81,0
61317513,61317499,49.96,7.19,0
61317515,2675243995,29.53,5.32,0
61317515,61317529,22.91,3.3,0
61317521,61324138,187.72,33.79,0
61317521,61321975,72.98,13.14,0
61317523,61317471,65.87,9.49,0
61317523,12230555430,25.77,4.64,0
61317523,61327087,80.93,14.57,0
61317525,61317529,33.76,4.86,0
61317525,61317525,98.49,14.18,0
61317525,61317525,98.49,14.18,0
61317529,61317525,33.76,4.86,0
61317529,61328155,25.7,3.7,0
61317529,61317515,22.91,3.3,0
61317531,61317533,10.79,1.29,0
61317531,61317611,53.4,7.69,0
61317531,61329935,76.33,13.74,0
61317533,61317531,10.79,1.29,0
61317533,61332465,50.2,7.23,0
61317533,61318570,53.74,9.67,0
61317535,61317537,10.46,1.51,0
61317535,61317531,116.3,13.96,0
61317537,61322996,149.2,26.86,0
61317537,61317541,87,10.44,0
61317539,61322312,21.98,2.64,0
61317541,61317539,9.42,1.13,0
61317541,61320999,100.6,12.07,0
61317543,61322421,61.11,7.33,0
61317545,61317543,9.64,1.16,0
61317545,61317549,19.64,2.36,0
61317547,61317549,9.58,1.15,0
61317547,61317543,19.63,2.36,0
61317549,61322011,80.78,9.69,0
61317551,61317553,34.37,4.95,0
61317553,61317551,34.37,4.95,0
61317553,11990713943,36.7,6.61,0
61317585,61324795,73.7,13.27,0
61317585,61328839,92.98,16.74,0
61317586,61317585,45.83,6.6,0
61317589,61329511,57.48,10.35,0
61317589,61322515,132.5,23.85,0
61317589,12205978585,52.83,7.61,0
61317593,61317596,23.12,3.33,0
61317596,61317593,23.12,3.33,0
61317596,61318434,93.65,16.86,0
61317596,61318581,42.52,7.65,0
61317601,61324540,58.86,8.48,0
61317601,61325849,142.8,20.56,0
61317605,3401235870,28.46,3.42,1
61317605,61321724,54.96,7.91,1
61317607,61317605,4.14,0.5,1
61317609,61317611,10.2,1.47,0
61317609,61318570,67.12,12.08,0
61317609,61317533,54.25,7.81,0
61317611,61317609,10.2,1.47,0
61317611,61321535,79.84,11.5,0
61317645,61327630,22.8,3.28,0
61317649,61317651,32.38,4.66,0
61317651,61317649,32.38,4.66,0
61317651,61328070,74.69,13.44,0
61317651,61329879,28.63,5.15,0
61317653,11639940382,44.77,5.37,0
61317657,61317659,39.11,5.63,0
61317659,61323347,58.89,10.6,0
61317659,61317657,39.11,5.63,0
61317661,61317663,26.24,3.15,0
61317663,61318588,18.24,2.63,0
61317663,61317675,75.43,9.05,0
61317667,61327302,42.8,6.16,0
61317667,61317661,57.44,6.89,0
61317669,61327172,71.71,12.91,0
61317669,61322054,141.65,25.5,0
61317669,61317671,63.76,7.65,0
61317671,61322641,42.74,6.15,0
61317671,61317761,63.9,7.67,0
61317675,61330561,89.17,16.05,0
61317675,61327155,72.6,8.71,0
61317705,2657922586,176.88,31.84,0
61317705,61328810,55.7,10.03,0
61317705,61317707,28.05,4.04,0
61317707,61317705,28.05,4.04,0
61317709,61327117,41.59,7.49,0
61317709,61317711,20.04,2.89,0
61317709,61317400,132.12,23.78,0
61317711,61317709,20.04,2.89,0
61317713,61283305,68.35,9.84,0
61317713,61321748,46.24,6.66,0
61317713,61317722,33.05,4.76,0
61317722,61317713,33.05,4.76,0
61317725,61317727,26.09,3.13,0
61317725,61322316,30.9,5.56,0
61317727,61317725,26.09,3.13,0
61317741,9261698819,43.58,7.84,0
61317741,61317381,63.33,11.4,0
61317741,61317743,70.6,10.17,0
61317743,61328059,99.13,14.28,0
61317743,61317741,70.6,10.17,0
61317749,1078210009,42.51,7.65,0
61317759,1078210009,64.4,11.59,0
61317759,61327432,52.14,9.39,0
61317761,61321761,28.32,4.08,0
61317761,61327224,83.01,14.94,0
61317761,61327020,64.56,7.75,0
61317764,11736126145,5.71,0.69,0
61317764,61321218,269.95,48.59,0
61318060,61323500,60.48,10.89,0
61318060,61317499,81.87,14.74,0
61318060,12230555430,42.68,7.68,0
61318061,61318062,16.2,1.94,0
61318061,61330289,37.09,4.45,0
61318061,61321174,194.68,35.04,0
61318062,61321152,67.56,8.11,0
61318062,61318061,16.2,1.94,0
61318062,61333888,248.4,44.71,0
61318063,9300359736,99.6,11.95,0
61318063,61318065,65.57,11.8,0
61318063,61322987,49.3,8.87,0
61318065,61318063,65.57,11.8,0
61318065,469291334,48.4,5.81,0
61318065,61317428,50.84,9.15,0
61318065,61323077,104.79,18.86,0
61318066,61317292,173.52,20.82,0
61318066,61328222,206.61,21.25,1
61318066,61328171,85.47,8.79,1
61318074,61318087,103.02,10.6,1
61318083,61317547,81.33,9.76,0
61318087,61331830,95.28,17.15,0
61318087,61317281,298.83,30.74,1
61318093,3401235869,51.66,6.2,0
61318093,5850416671,369.85,44.38,0
61318093,61327649,157.59,18.91,0
61318101,276249698,74.55,10.74,0
61318101,61327626,56.6,10.19,0
61318101,567777297,146.29,26.33,0
61318108,61318109,68.55,9.87,0
61318109,61321168,65.65,11.82,0
61318109,61318108,68.55,9.87,0
61318109,61321008,70.83,12.75,0
61318122,61321470,61.17,8.81,0
61318129,61322615,132.11,15.85,0
61318129,61318130,30.27,3.63,0
61318130,61318129,30.27,3.63,0
61318131,61318132,39.82,4.78,0
61318132,61318131,39.82,4.78,0
61318132,61317541,148.82,26.79,0
61318136,61318476,136.96,24.65,0
61318136,61317497,28.68,5.16,0
61318138,61318136,35.63,5.13,0
61318138,61332037,60.12,8.66,0
61318140,61318175,24.93,3.59,0
61318140,61323069,74.52,10.73,0
61318142,61318166,19.81,3.57,0
61318142,61318148,39.11,7.04,0
61318148,6050488695,67.66,12.18,0
61318148,61318142,39.11,7.04,0
61318148,61322022,64.14,7.7,0
61318150,61318449,61.28,11.03,0
61318150,61318448,124.96,22.49,0
61318150,61322501,17.27,3.11,0
61318164,61318142,87.42,15.74,0
61318164,61324065,121.69,21.9,0
61318166,61323583,71.68,12.9,0
61318166,61324278,159.98,28.8,0
61318175,61323047,17.48,2.52,0
61318175,61318140,24.93,3.59,0
61318181,61326151,41.32,4.96,0
61318181,61326015,35.11,4.21,0
61318193,61318181,214.11,25.69,0
61318193,61326119,667.24,80.07,0
61318427,61318428,41.86,7.53,0
61318427,7980904724,135.09,24.32,0
61318428,61318427,41.86,7.53,0
61318428,61330081,47.81,8.61,0
61318428,61320974,120.07,21.61,0
61318430,61323126,128.46,23.12,0
61318430,61318427,93.82,16.89,0
61318431,61182955,117.27,21.11,0
61318431,61318481,162.1,29.18,0
61318433,61333718,62.79,11.3,0
61318433,61321211,40.82,7.35,0
61318433,61318443,80.75,14.53,0
61318434,61318582,136.84,24.63,0
61318434,61325623,78.94,14.21,0
61318434,61317596,93.65,16.86,0
61318434,61330449,160.62,28.91,0
61318436,61317386,117.2,16.88,0
61318436,61318572,108.65,15.64,0
61318440,61318547,59.92,10.79,0
61318440,61322639,35.6,4.27,0
61318440,61318441,66.17,11.91,0
61318441,61321823,249.01,44.82,0
61318441,61318440,66.17,11.91,0
61318441,61321461,131.23,23.62,0
61318443,7050543656,57.43,10.34,0
61318443,61318433,80.75,14.53,0
61318443,61329472,174.31,31.38,0
61318448,61323271,70.7,12.73,0
61318448,61318150,124.96,22.49,0
61318448,61323436,69.03,12.43,0
61318449,61322306,42.04,7.57,0
61318449,61318150,61.28,11.03,0
61318449,61323436,154.83,27.87,0
61318451,61318453,86.29,12.43,0
61318451,6593964947,47.98,6.91,0
61318451,6038134142,130.96,15.72,0
61318453,61317356,84.1,12.11,0
61318453,61322393,231,41.58,0
61318453,61318451,86.29,12.43,0
61318453,1572160627,47.02,5.64,0
61318456,61318459,62.18,11.19,0
61318457,61318516,88.89,16,0
61318457,61318515,216.23,38.92,0
61318458,61318474,176.28,31.73,0
61318458,61318460,89.95,16.19,0
61318459,61321088,66.07,11.89,0
61318459,61324107,85.48,15.39,0
61318460,61318533,159.97,28.79,0
61318460,412279713,95.93,17.27,0
61318463,61323038,214.35,38.58,0
61318463,3705465011,32.46,5.84,0
61318463,61318467,176.66,31.8,0
61318466,61323290,57.33,6.88,0
61318466,61318469,22.37,2.68,0
61318467,61318463,176.66,31.8,0
61318467,61323036,47.15,8.49,0
61318469,61318466,22.37,2.68,0
61318469,61330139,75.75,9.09,0
61318469,61318471,193.16,34.77,0
61318470,2562528671,90.35,16.26,0
61318470,61318474,24.86,4.47,0
61318471,61323039,70.4,12.67,0
61318474,61318458,176.28,31.73,0
61318474,3705465011,127.96,23.03,0
61318474,61318470,24.86,4.47,0
61318475,61330092,55.08,7.93,0
61318475,61320978,120.57,17.36,0
61318475,61323233,65.22,11.74,0
61318475,61318476,51.87,9.34,0
61318476,61323226,104.64,18.84,0
61318476,61318475,51.87,9.34,0
